Unit,Station_Lat,Station_Long,Sun_Norm,Mon_Norm,Tues_Norm,Wed_Norm,Thurs_Norm,Fri_Norm,Sat_Norm
R123,40.670711,-73.958051,1,7.656722689,6.141596639,8.278151261,10,5.508823529,2.734453782
R124,40.669409,-73.942173,2.495917256,8.917256396,9.792596625,9.487207403,10,7.558519325,1
R125,40.706539,-74.011052,1.043881724,9.340358603,9.801824473,10,9.841459578,6.925448254,1
R126,40.847369,-73.939683,1,8.188351799,9.219041082,9.281694284,10,6.527600745,2.2301206
R127,40.692338,-73.987342,1,9.423979336,9.99580254,9.971263543,10,7.03433307,2.45232116
R128,40.705416,-73.810562,1,9.191240621,9.778572675,10,9.472343396,7.201535509,2.670912581
R129,40.686154,-73.990881,1,7.968183547,8.813537837,8.907085816,10,6.798833819,2.610850551
R130,40.603234,-73.972342,1,9.813138526,10,9.668790509,9.869493574,8.246072723,1.067230583
R131,40.740088,-73.986429,1,9.265540607,9.604487872,9.916478444,10,7.213296671,2.241775508
R132,40.804406,-73.937452,1,9.727488386,10,9.37402392,9.02322823,6.937135514,3.062370268
R133,40.87963,-73.884666,1,8.555501103,9.735358981,9.769541779,10,6.569590787,2.826023034
R134,40.74238,-73.948889,1,9.273618859,9.962749685,10,9.728720533,6.724401656,2.017095555
R135,40.639961,-73.948352,1,8.570838898,9.534539274,10,9.93334952,6.6773097,2.691392497
R136,40.58681,-73.954167,1,9.316870762,10,9.061380427,9.931231657,6.734186823,2.307509361
R137,40.699707,-73.91181,1,8.179955457,8.901057906,9.799554566,10,6.16798441,3.489532294
R138,40.732251,-74.000559,1,4.87461742,8.115215023,7.711832754,10,3.797530736,1.458473829
R139,40.720852,-74.005237,1,8.220544013,8.949425916,9.384294697,10,6.497061236,2.113928376
R140,40.748948,-73.937194,1,8.323558484,9.473146623,9.641186161,10,5.913673806,2.759472817
R141,40.721681,-73.84439,1,9.145368466,9.67868369,9.419185843,10,6.761690403,2.359307695
R142,40.71838,-73.987813,1,7.859737639,8.849214358,9.1065302,10,6.62764884,3.399740522
R143,40.743095,-73.984251,1,9.079825258,9.627084988,10,9.993645751,7.021048451,2.009531374
R144,40.785822,-73.95097,1,9.214307787,9.96894314,10,9.894777503,6.923053152,1.907601978
R145,40.903085,-73.850591,1,9.523561625,9.264349943,10,9.917246975,5.774119397,1.039551078
R146,40.820889,-73.890567,1,8.962101837,9.444780284,9.093931644,10,6.331085794,2.157172751
R147,40.745623,-73.902969,1,8.824746975,10,9.010349288,9.790426908,5.860588996,5.011338559
